replicate,NumDays,treatment,predict_spec,mean.dens.ml
1,27,C+D+S,Spiro,55.022439024390245
1,29,C+D,Colp,210.90059620596205
1,29,C+D,Dexio,429.940162601626
1,29,C+D+P,Colp,113.87056910569106
1,29,C+D+P,Dexio,132.21138211382114
1,29,C+D+P,Para,89.64119241192412
1,29,C+D+S,Colp,296.4910569105691
1,29,C+D+S,Dexio,283.1386449864499
1,29,C+D+S,Spiro,81.57723577235772
1,29,C+D+S+Pd,Spath,13.84
1,31,C+D,Colp,281.6383739837398
1,31,C+D,Dexio,396.8216802168022
1,31,C+D+P,Colp,60.72346883468835
1,31,C+D+P,Dexio,69.68758807588075
1,31,C+D+P,Para,63.23642276422764
1,31,C+D+S,Colp,309.76845528455283
1,31,C+D+S,Dexio,176.28184281842817
1,31,C+D+S,Spiro,51.68433604336043
1,33,C+D,Colp,296.07848238482387
1,33,C+D,Dexio,301.5169647696477
1,33,C+D+P,Colp,105.03772357723578
1,33,C+D+P,Dexio,97.06753387533875
1,33,C+D+P,Para,64.96173441734418
1,33,C+D+S,Colp,314.7193495934959
1,33,C+D+S,Dexio,172.41864498644986
1,33,C+D+S,Spiro,57.914592806945024
1,35,C+D,Colp,222.67772357723578
1,35,C+D,Dexio,519.1687804878048
1,35,C+D+P,Colp,48.552520325203254
1,35,C+D+P,Dexio,90.24130081300812
1,35,C+D+P,Para,28.532153929539295
1,35,C+D+S,Colp,185.88357723577235
1,35,C+D+S,Dexio,166.64260162601624
1,35,C+D+S,Spiro,36.70037940379404
1,37,C+D,Colp,175.98178861788617
1,37,C+D,Dexio,422.51382113821137
1,37,C+D+P,Colp,46.71250772042604
1,37,C+D+P,Dexio,87.65333333333334
1,37,C+D+P,Para,32.44336043360434
1,37,C+D+S,Colp,78.83924119241192
1,37,C+D+S,Dexio,152.12747967479675
1,37,C+D+S,Spiro,25.964917467356493
1,39,C+D,Colp,136.44964769647697
1,39,C+D,Dexio,367.86644986449863
1,39,C+D+P,Colp,15.723777777777778
1,39,C+D+P,Dexio,76.43033831628638
1,39,C+D+P,Para,25.152094045264775
1,39,C+D+S,Colp,190.7969647696477
1,39,C+D+S,Dexio,192.10970189701897
1,39,C+D+S,Spiro,31.205636856368564
1,41,C+D,Colp,124.29745257452574
1,41,C+D,Dexio,357.8521409214092
1,41,C+D+P,Colp,54.759891598915985
1,41,C+D+P,Dexio,79.21430894308943
1,41,C+D+P,Para,23.112417357855513
1,41,C+D+Pd,Noise,13.84
1,41,C+D+S,Colp,179.92
1,41,C+D+S,Dexio,126.99794037940379
1,41,C+D+S,Spiro,34.05615176151761
1,43,C+D,Colp,91.62905149051491
1,43,C+D,Dexio,397.4217886178862
1,43,C+D+P,Colp,93.16682926829267
1,43,C+D+P,Dexio,78.61420054200542
1,43,C+D+P,Para,33.36043182726909
1,43,C+D+S,Colp,238.2430352303523
1,43,C+D+S,Dexio,176.24433604336042
1,43,C+D+S,Spiro,46.86237127371273
1,45,C+D,Colp,67.84975609756097
1,45,C+D,Dexio,348.32542005420055
1,45,C+D+P,Colp,58.84813008130081
1,45,C+D+P,Dexio,56.87792124980073
1,45,C+D+P,Para,34.62402293444422
1,45,C+D+S,Colp,209.92542005420054
1,45,C+D+S,Dexio,133.59913279132792
1,45,C+D+S,Spiro,27.905040650406505
1,47,C+D,Dexio,295.4408672086721
1,47,C+D+P,Colp,56.3379891598916
1,47,C+D+P,Dexio,81.91479674796747
1,47,C+D+P,Para,24.217626153476726
1,47,C+D+P+Pd,Para,13.84
1,47,C+D+S,Colp,182.3579403794038
1,47,C+D+S,Dexio,124.03490514905148
1,47,C+D+S,Spiro,36.51284552845529
1,49,C+D,Colp,13.84
1,49,C+D,Dexio,201.48639566395664
1,49,C+D+P,Colp,45.533224932249325
1,49,C+D+P,Dexio,70.7190243902439
1,49,C+D+P,Para,37.97560975609756
1,49,C+D+S,Colp,164.6922493224932
1,49,C+D+S,Dexio,135.0618970189702
1,49,C+D+S,Spiro,26.715138211382115
1,51,C+D,Colp,24.722735042735042
1,51,C+D,Dexio,147.81420054200544
1,51,C+D+P,Colp,44.134831741714336
1,51,C+D+P,Dexio,60.61094850948509
1,51,C+D+P,Para,17.958734645290377
1,51,C+D+S,Colp,193.49745257452577
1,51,C+D+S,Dexio,87.95338753387534
1,51,C+D+S,Spiro,41.97008130081301
1,53,C+D,Colp,13.84
1,53,C+D,Dexio,127.8230894308943
1,53,C+D+P,Colp,45.97274094431085
1,53,C+D+P,Dexio,67.45593495934959
1,53,C+D+P,Para,31.75616438356164
1,53,C+D+P+Pd,Para,13.84
1,53,C+D+S,Colp,224.1779945799458
1,53,C+D+S,Dexio,122.00953929539295
1,53,C+D+S,Spiro,46.555438269136786
2,1,C+D,Colp,192.89734417344172
2,1,C+D,Dexio,222.90276422764228
2,1,C+D+P,Colp,182.17040650406503
2,1,C+D+P,Dexio,139.71273712737127
2,1,C+D+P,Para,115.21896841263495
2,1,C+D+P+Pd,Colp,86.59043472418196
2,1,C+D+P+Pd,Dexio,115.89084929493363
2,1,C+D+P+Pd,Spath,21.300733744370106
2,1,C+D+P+Pd,Para,60.00800940839597
2,1,C+D+Pd,Colp,91.14146341463413
2,1,C+D+Pd,Dexio,121.22694600792161
2,1,C+D+Pd,Noise,15.10160544217687
2,1,C+D+Pd,Spath,24.645300038714673
2,1,C+D+S,Colp,225.86579945799457
2,1,C+D+S,Dexio,203.92433604336043
2,1,C+D+S,Spiro,30.380487804878047
2,1,C+D+S+Pd,Colp,71.45911343399149
2,1,C+D+S+Pd,Dexio,115.68793604480129
2,1,C+D+S+Pd,Noise,13.84
2,1,C+D+S+Pd,Spath,26.77459139412478
2,1,C+D+S+Pd,Spiro,15.014962694091551
2,3,C+D,Colp,282.16346883468833
2,3,C+D,Dexio,352.71371273712737
2,3,C+D+P,Colp,110.15739837398374
2,3,C+D+P,Dexio,259.43436314363146
2,3,C+D+P,Para,164.54222222222222
2,3,C+D+P+Pd,Colp,130.51089112067592
2,3,C+D+P+Pd,Dexio,291.3291869918699
2,3,C+D+P+Pd,Noise,13.84
2,3,C+D+P+Pd,Spath,119.41355195039633
2,3,C+D+P+Pd,Para,119.57601147776184
